DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/31/16,6:10,BRONX,10468,40.8670222,-73.9000854,"(40.8670222, -73.9000854)",,,2615      GRAND AVENUE,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3551221,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/16,6:10,BRONX,10463,40.8764759,-73.9044863,"(40.8764759, -73.9044863)",WEST 230 STREET,MAJOR DEEGAN EXPRESSWAY,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3550543,PICK-UP TRUCK,MOTORCYCLE,,,
10/31/16,5:10,,,40.6111819,-74.1525992,"(40.6111819, -74.1525992)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3551242,SPORT UTILITY / STATION WAGON,,,,
10/31/16,5:10,,,,,,GEORGIA AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3551340,PASSENGER VEHICLE,,,,
10/31/16,5:10,,,,,,61 STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3550976,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
10/31/16,5:10,STATEN ISLAND,10301,40.6359357,-74.0758465,"(40.6359357, -74.0758465)",BAY STREET,HANNAH STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3552847,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/16,5:10,MANHATTAN,10036,40.7601695,-73.9967801,"(40.7601695, -73.9967801)",,,524       WEST 42 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3551678,SPORT UTILITY / STATION WAGON,,,,
10/31/16,5:10,MANHATTAN,10029,40.7977292,-73.9395321,"(40.7977292, -73.9395321)",,,210       EAST 116 STREET,0,0,0,0,0,0,0,0,Steering Failure,Unspecified,Unspecified,,,3552719,PASSENGER VEHICLE,PASSENGER VEHICLE,PICK-UP TRUCK,,
10/31/16,5:10,MANHATTAN,10021,40.7690642,-73.961111,"(40.7690642, -73.961111)",EAST 71 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3551604,SPORT UTILITY / STATION WAGON,,,,
10/31/16,5:10,BROOKLYN,11237,40.7043114,-73.9132917,"(40.7043114, -73.9132917)",CYPRESS AVENUE,GREENE AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3552624,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
