LATITUDE,LONGITUDE,,,,,
40.6461833,-73.9006935,,"[40.6461833,-73.9006935],",,,
40.5974772,-73.9687045,,"[40.5974772,-73.9687045],",,,
40.6687091,-73.9173068,,"[40.6687091,-73.9173068],",,,
40.6650736,-73.9273933,,"[40.6650736,-73.9273933],",,,
40.61617,-73.954587,,"[40.61617,-73.954587],",,,
40.6095563,-73.9663001,,"[40.6095563,-73.9663001],",,,
40.6234622,-74.0310592,,"[40.6234622,-74.0310592],",,,
40.6834429,-73.8672578,,"[40.6834429,-73.8672578],",,,
40.7044119,-73.9865687,,"[40.7044119,-73.9865687],",,,
40.8107366,-73.8827614,,"[40.8107366,-73.8827614],",,,
40.8541776,-73.8859454,,"[40.8541776,-73.8859454],",,,
40.8003425,-73.9141887,,"[40.8003425,-73.9141887],",,,
40.6009013,-73.9127382,,"[40.6009013,-73.9127382],",,,
40.7384067,-73.8027134,,"[40.7384067,-73.8027134],",,,
40.5462081,-74.2117622,,"[40.5462081,-74.2117622],",,,
40.691141,-73.8048734,,"[40.691141,-73.8048734],",,,
40.7678942,-73.8379954,,"[40.7678942,-73.8379954],",,,
40.7512423,-73.7750092,,"[40.7512423,-73.7750092],",,,
40.7293524,-73.9101853,,"[40.7293524,-73.9101853],",,,
40.699501,-73.901202,,"[40.699501,-73.901202],",,,
40.7441674,-73.9124783,,"[40.7441674,-73.9124783],",,,
40.7465563,-73.826199,,"[40.7465563,-73.826199],",,,
40.7514564,-73.832275,,"[40.7514564,-73.832275],",,,
40.776832,-73.9116952,,"[40.776832,-73.9116952],",,,
40.7876856,-73.9750141,,"[40.7876856,-73.9750141],",,,
40.7595778,-73.9680255,,"[40.7595778,-73.9680255],",,,
40.7541617,-73.976557,,"[40.7541617,-73.976557],",,,
40.5803873,-73.9662537,,"[40.5803873,-73.9662537],",,,
40.7262688,-73.9377101,,"[40.7262688,-73.9377101],",,,
40.6968159,-73.9349139,,"[40.6968159,-73.9349139],",,,
40.6824054,-73.9762542,,"[40.6824054,-73.9762542],",,,
40.6434336,-73.886457,,"[40.6434336,-73.886457],",,,
40.7005823,-73.8077418,,"[40.7005823,-73.8077418],",,,
40.7272282,-73.7104995,,"[40.7272282,-73.7104995],",,,
40.7713874,-73.9564776,,"[40.7713874,-73.9564776],",,,
40.728887,-73.9874513,,"[40.728887,-73.9874513],",,,
40.6678569,-73.9319935,,"[40.6678569,-73.9319935],",,,
40.8779474,-73.8661535,,"[40.8779474,-73.8661535],",,,
40.8325167,-73.9043832,,"[40.8325167,-73.9043832],",,,
40.8259147,-73.8364636,,"[40.8259147,-73.8364636],",,,
40.8326282,-73.9253747,,"[40.8326282,-73.9253747],",,,
40.8027515,-73.933575,,"[40.8027515,-73.933575],",,,
40.7606005,-73.9643142,,"[40.7606005,-73.9643142],",,,
40.7534749,-73.9925287,,"[40.7534749,-73.9925287],",,,
40.7501786,-74.0060706,,"[40.7501786,-74.0060706],",,,
40.682394,-73.9958825,,"[40.682394,-73.9958825],",,,
40.6291786,-74.0237593,,"[40.6291786,-74.0237593],",,,
40.7636169,-73.9950689,,"[40.7636169,-73.9950689],",,,
40.7140687,-73.9975038,,"[40.7140687,-73.9975038],",,,
40.7026444,-73.9372993,,"[40.7026444,-73.9372993],",,,
40.7210624,-73.9981962,,"[40.7210624,-73.9981962],",,,
40.6215812,-74.0227732,,"[40.6215812,-74.0227732],",,,
40.6554201,-73.9228879,,"[40.6554201,-73.9228879],",,,
40.7372519,-73.9179831,,"[40.7372519,-73.9179831],",,,
40.5950296,-73.9547346,,"[40.5950296,-73.9547346],",,,
40.650965,-73.9465304,,"[40.650965,-73.9465304],",,,
40.7266796,-73.7571377,,"[40.7266796,-73.7571377],",,,
40.6105392,-74.1034436,,"[40.6105392,-74.1034436],",,,
40.6105392,-74.1034436,,"[40.6105392,-74.1034436],",,,
40.629599,-74.1116353,,"[40.629599,-74.1116353],",,,
40.5161879,-74.2330414,,"[40.5161879,-74.2330414],",,,
40.5939744,-73.7702302,,"[40.5939744,-73.7702302],",,,
40.7156956,-73.8114101,,"[40.7156956,-73.8114101],",,,
40.6818868,-73.8516383,,"[40.6818868,-73.8516383],",,,
40.7556312,-73.8948635,,"[40.7556312,-73.8948635],",,,
40.7515975,-73.8620438,,"[40.7515975,-73.8620438],",,,
40.768935,-73.7919015,,"[40.768935,-73.7919015],",,,
40.7896272,-73.8141078,,"[40.7896272,-73.8141078],",,,
40.7433525,-73.7046193,,"[40.7433525,-73.7046193],",,,
40.7630434,-73.9565264,,"[40.7630434,-73.9565264],",,,
40.8274533,-73.9372432,,"[40.8274533,-73.9372432],",,,
40.84468,-73.9388533,,"[40.84468,-73.9388533],",,,
40.7822788,-73.9762799,,"[40.7822788,-73.9762799],",,,
40.7408547,-73.9942767,,"[40.7408547,-73.9942767],",,,
40.7432122,-74.0086142,,"[40.7432122,-74.0086142],",,,
40.7224015,-73.9916483,,"[40.7224015,-73.9916483],",,,
40.6546865,-73.8777126,,"[40.6546865,-73.8777126],",,,
40.6829293,-73.9642151,,"[40.6829293,-73.9642151],",,,
40.700675,-73.921631,,"[40.700675,-73.921631],",,,
40.6060025,-73.9308896,,"[40.6060025,-73.9308896],",,,
40.6226949,-73.9330985,,"[40.6226949,-73.9330985],",,,
40.6192487,-73.9220724,,"[40.6192487,-73.9220724],",,,
40.6094167,-73.9676868,,"[40.6094167,-73.9676868],",,,
40.6026848,-73.942316,,"[40.6026848,-73.942316],",,,
40.6306819,-74.0109702,,"[40.6306819,-74.0109702],",,,
40.6693725,-73.9902058,,"[40.6693725,-73.9902058],",,,
40.8571285,-73.8807926,,"[40.8571285,-73.8807926],",,,
40.7508437,-73.9786082,,"[40.7508437,-73.9786082],",,,
40.7223457,-73.7771606,,"[40.7223457,-73.7771606],",,,
40.7666915,-73.9171454,,"[40.7666915,-73.9171454],",,,
40.7629417,-73.8606614,,"[40.7629417,-73.8606614],",,,
40.7423009,-73.7812212,,"[40.7423009,-73.7812212],",,,
40.5424231,-74.1609507,,"[40.5424231,-74.1609507],",,,
40.6072019,-73.7544356,,"[40.6072019,-73.7544356],",,,
40.6667534,-73.8015564,,"[40.6667534,-73.8015564],",,,
40.6623101,-73.7574262,,"[40.6623101,-73.7574262],",,,
40.7287817,-73.926144,,"[40.7287817,-73.926144],",,,
40.7713874,-73.9564776,,"[40.7713874,-73.9564776],",,,
40.7485121,-73.9887144,,"[40.7485121,-73.9887144],",,,
40.7195757,-73.9590584,,"[40.7195757,-73.9590584],",,,
40.6513555,-73.86881,,"[40.6513555,-73.86881],",,,
40.6484415,-73.8824124,,"[40.6484415,-73.8824124],",,,
40.6241708,-73.9704715,,"[40.6241708,-73.9704715],",,,
40.7191216,-73.949102,,"[40.7191216,-73.949102],",,,
40.6451774,-73.9923102,,"[40.6451774,-73.9923102],",,,
40.6755709,-73.9762674,,"[40.6755709,-73.9762674],",,,
40.6841826,-73.9839515,,"[40.6841826,-73.9839515],",,,
40.6800498,-73.9432622,,"[40.6800498,-73.9432622],",,,
40.6263625,-73.9506605,,"[40.6263625,-73.9506605],",,,
40.6976155,-73.9363881,,"[40.6976155,-73.9363881],",,,
